2015-10-02 21:25:33 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/pav_styleshop/template/module/pavproductcarousel.tpl on line 12
2015-10-02 21:25:38 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/pav_styleshop/template/module/pavproductcarousel.tpl on line 12
2015-10-02 21:26:26 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/pav_styleshop/template/module/pavproductcarousel.tpl on line 12
2015-10-02 21:26:55 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/pav_styleshop/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:02:15 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/pav_styleshop/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:02:42 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/pav_styleshop/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:02:54 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/pav_styleshop/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:03:03 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/pav_styleshop/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:04:12 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/pav_styleshop/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:07:51 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:07:55 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:08:14 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:08:14 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:08:42 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:08:54 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:02 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:09 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:09 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:11 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:11 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:14 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:14 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:20 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:26 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:35 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:39 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:46 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:50 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:58 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:09:58 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:10:21 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:10:29 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:10:31 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:11:44 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:11:51 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:11:52 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:11:52 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:12:25 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:12:26 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:12:27 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:12:31 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:12:33 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:12:33 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:12:36 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:12:38 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:12:38 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:12:40 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:12:43 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:13:38 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:13:43 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:13:47 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:13:48 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:14:20 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:14:23 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:14:26 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:14:34 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:14:34 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:14:50 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:15:03 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:15:05 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:15:05 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:15:10 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
2015-10-02 22:15:11 - PHP Warning:  array_merge(): Argument #2 is not an array in /home/rosl/server/smile_km/catalog/view/theme/smile/template/module/pavproductcarousel.tpl on line 12
